state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change,county_name
06,071,9002,88128,1,34.06957,-116.38893,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,118,97,Y,118,122,0,4,NA,NA,Certification not required,5.51e-4,6.08e-4,0.003,2018-11-10 00:00,0.002,2018-07-10 00:00,0.002,2018-08-03 00:00,0.002,2018-08-21 00:00,NA,NA,NA,NA,0.002,0.002,0.001,0.001,0.001,0.001,0,Joshua Tree NP - Black Rock,JOSHUA TREE NATIONAL MONUMENT,California,San Bernardino,NA,40140,"Riverside-San Bernardino-Ontario, CA",2020-05-21,San Bernardino
06,071,9010,88128,1,34.193925,-116.914063,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,6,NA,NA,Certification not required,4.57e-4,5e-4,0.001,2018-01-05 00:00,0.001,2018-01-14 00:00,0.001,2018-02-04 00:00,0.001,2018-02-10 00:00,NA,NA,NA,NA,0.001,0.001,0.001,0.001,0.001,0,0,NA,San Gorgonio Wilderness,California,San Bernardino,NA,40140,"Riverside-San Bernardino-Ontario, CA",2020-05-21,San Bernardino
06,073,1022,88128,5,32.789565,-116.944308,NAD83,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,122,100,Y,122,122,0,0,NA,NA,Certification not required,0.002344,0.006173,0.019,2018-01-05 00:00,0.016,2018-04-26 00:00,0.016,2018-05-20 00:00,0.016,2018-06-01 00:00,NA,NA,NA,NA,0.016,0.016,0.014,0.01,0.006,0.002,-0.005,El Cajon - Lexington Elementary School,533 First Street,California,San Diego,El Cajon,41740,"San Diego-Carlsbad, CA",2020-05-21,San Diego
06,083,9000,88128,1,34.733889,-120.008349,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,115,94,Y,115,122,0,7,NA,NA,Certification not required,4.35e-4,5.79e-4,0.003,2018-11-10 00:00,0.002,2018-07-31 00:00,0.002,2018-11-13 00:00,0.001,2018-01-08 00:00,NA,NA,NA,NA,0.002,0.002,0.001,0.001,0.001,0,0,San Rafael Wilderness,San Rafael,California,Santa Barbara,NA,42200,"Santa Maria-Santa Barbara, CA",2020-05-21,Santa Barbara
06,085,0005,88128,5,37.348497,-121.894898,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,120,98,Y,120,122,0,2,NA,NA,Certification not required,0.002792,0.007313,0.048,2018-11-10 00:00,0.022,2018-05-14 00:00,0.022,2018-11-16 00:00,0.017,2018-04-05 00:00,NA,NA,NA,NA,0.022,0.022,0.015,0.011,0.006,0.002,-0.004,San Jose - Jackson,158B JACKSON ST,California,Santa Clara,San Jose,41940,"San Jose-Sunnyvale-Santa Clara, CA",2020-05-21,Santa Clara
06,089,3003,88128,1,40.53999,-121.57646,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,6,NA,NA,Certification not required,3.1e-4,6.9e-4,0.005,2018-07-28 00:00,0.002,2018-06-01 00:00,0.002,2018-07-31 00:00,0.002,2018-08-18 00:00,NA,NA,NA,NA,0.002,0.002,0.001,0.001,0.001,0,0,Lassen Volcanic NP - Manzanita Lake Fire Station,"MANZANITA LAKE RS, LASSEN VOLCANIC NP",California,Shasta,NA,39820,"Redding, CA",2020-05-21,Shasta
06,093,0005,88128,1,41.711825,-121.509993,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,103,84,Y,103,122,0,19,NA,NA,Certification not required,2.33e-4,5.09e-4,0.002,2018-08-15 00:00,0.002,2018-08-24 00:00,0.001,2018-01-02 00:00,0.001,2018-02-04 00:00,NA,NA,NA,NA,0.002,0.001,0.001,0.001,0,0,0,Lava Beds National Monument,"P.O. BOX 867, LAVA BEDS",California,Siskiyou,Lava Beds National Monument,NA,NA,2020-05-21,Siskiyou
06,099,0005,88128,5,37.642165,-120.994212,NAD83,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,60,98,Y,58,61,0,1,NA,NA,Certification not required,0.003283,0.004431,0.032,2018-11-10 00:00,0.013,2018-01-02 00:00,0.01,2018-10-11 00:00,0.009,2018-02-01 00:00,NA,NA,NA,NA,0.032,0.013,0.01,0.006,0.003,0.003,0.001,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,33700,"Modesto, CA",2020-05-21,Stanislaus
06,105,9000,88128,1,40.786247,-122.805707,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,113,93,Y,113,122,0,9,NA,NA,Certification not required,2.65e-4,5.51e-4,0.004,2018-08-15 00:00,0.001,2018-01-05 00:00,0.001,2018-01-08 00:00,0.001,2018-01-17 00:00,NA,NA,NA,NA,0.001,0.001,0.001,0.001,0,0,0,Trinity,Trinity,California,Trinity,NA,NA,NA,2020-05-21,Trinity
06,107,1001,88128,1,36.498835,-118.824821,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,119,98,Y,119,122,0,3,NA,NA,Certification not required,5.71e-4,6.71e-4,0.003,2018-07-28 00:00,0.003,2018-11-13 00:00,0.002,2018-01-20 00:00,0.002,2018-07-22 00:00,NA,NA,NA,NA,0.003,0.002,0.002,0.001,0.001,0.001,0,Sequoia NP-Ash Mountain,"ASH MOUNTIAN, SEQUOIA NATIONAL PARK",California,Tulare,Sequoia National Park,47300,"Visalia-Porterville, CA",2020-05-21,Tulare
06,107,2002,88128,5,36.332178999999996,-119.291228,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,61,100,Y,60,61,0,0,NA,NA,Certification not required,0.003148,0.0018600000000000001,0.01,2018-01-02 00:00,0.008,2018-02-01 00:00,0.008,2018-11-16 00:00,0.006,2018-11-10 00:00,NA,NA,NA,NA,0.01,0.008,0.006,0.005,0.004,0.003,0.001,Visalia-Church,"310 N CHURCH ST, VISALIA",California,Tulare,Visalia,47300,"Visalia-Porterville, CA",2020-05-21,Tulare
